Line #,Key,en Version,ru Translation
1,ru.activerecord.models.user,User,User
2,ru.activerecord.models.story,Story,Story
3,ru.activerecord.models.section,Section,Section
4,ru.activerecord.models.medium,Full-Screen Media Slideshow,Full-Screen Media Slideshow
5,ru.activerecord.models.content,Text,Text
6,ru.activerecord.models.message,Message,Message
7,ru.activerecord.models.slideshow,Image Slideshow,Image Slideshow
8,ru.activerecord.models.embed_medium,Embeddable Online Media,Embeddable Online Media
9,ru.activerecord.models.youtube,YouTube Video,YouTube Video
10,ru.activerecord.models.language,Language,Language
11,ru.activerecord.models.category,Category,Category
12,ru.activerecord.models.page,Text for Pages,Text for Pages
13,ru.activerecord.models.theme,Theme,Theme
14,ru.activerecord.models.story_type,Story Type,Story Type
15,ru.activerecord.models.author,Author,Author
16,ru.activerecord.attributes.user.email,Email Address,Email Address
17,ru.activerecord.attributes.user.password,Password,Password
18,ru.activerecord.attributes.user.password_confirmation,Password Confirmation,Password Confirmation
19,ru.activerecord.attributes.user.role,Role,Role
20,ru.activerecord.attributes.user.remember_me,Remember Me,Remember Me
21,ru.activerecord.attributes.user.default_story_locale,Default Language for Your Stories,Default Language for Your Stories
22,ru.activerecord.attributes.user.about,Summary of You,Summary of You
23,ru.activerecord.attributes.user.local_avatar,Avatar,Avatar
24,ru.activerecord.attributes.user.nickname,Nickname,Nickname
25,ru.activerecord.attributes.user.sign_in_count,Number of Times Logged In,Number of Times Logged In
26,ru.activerecord.attributes.user.created_at,Date Created,Date Created
27,ru.activerecord.attributes.user.current_sign_in_at,Date Last Logged In,Date Last Logged In
28,ru.activerecord.attributes.author.avatar,Avatar,Avatar
29,ru.activerecord.attributes.author_translation.name,Name,Name
30,ru.activerecord.attributes.author_translation.about,About,About
31,ru.activerecord.attributes.author_translation.permalink,Permalink,Permalink
32,ru.activerecord.attributes.story.user_id,Story Author,Story Author
33,ru.activerecord.attributes.story.user_ids,Editors,Editors
34,ru.activerecord.attributes.story.publish_home_page,"Once published, make your story visible on the homepage?","Once published, make your story visible on the homepage?"
35,ru.activerecord.attributes.story.template_id,Template,Template
36,ru.activerecord.attributes.story.thumbnail,Thumbnail,Thumbnail
37,ru.activerecord.attributes.story.story_locale,Story Language,Story Language
38,ru.activerecord.attributes.story.tag_list,Tags,Tags
39,ru.activerecord.attributes.story.categories,Categories,Categories
40,ru.activerecord.attributes.story.story_type,Type,Type
41,ru.activerecord.attributes.story.in_theme_slider,Show Story in Theme Slider,Show Story in Theme Slider
42,ru.activerecord.attributes.story_translation.title,Story Title,Story Title
43,ru.activerecord.attributes.story_translation.author,Author(s),Author(s)
44,ru.activerecord.attributes.story_translation.media_author,Photo and Video Author(s),Photo and Video Author(s)
45,ru.activerecord.attributes.story_translation.translation_author,Translation Author(s),Translation Author(s)
46,ru.activerecord.attributes.story_translation.published,Publish?,Publish?
47,ru.activerecord.attributes.story_translation.published_at,Was Published,Was Published
48,ru.activerecord.attributes.story_translation.about,Story Summary,Story Summary
49,ru.activerecord.attributes.story_translation.permalink,Story URL,Story URL
50,ru.activerecord.attributes.story_translation.permalink_staging,Story URL,Story URL
51,ru.activerecord.attributes.section.has_marker,Navigation Shortcut,Navigation Shortcut
52,ru.activerecord.attributes.section.type_id,Type,Type
53,ru.activerecord.attributes.section.sort_order,Sort Order,Sort Order
54,ru.activerecord.attributes.section_translation.title,Title,Title
55,ru.activerecord.attributes.section_translation.audio,Audio Track,Audio Track
56,ru.activerecord.attributes.section_translation.delete_audio,Delete the Audio Track?,Delete the Audio Track?
57,ru.activerecord.attributes.content.title,Title,Title
58,ru.activerecord.attributes.content.caption,Heading,Heading
59,ru.activerecord.attributes.content.sub_caption,Subheading,Subheading
60,ru.activerecord.attributes.content.content,Text,Text
